日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/12/03,"1,642,048","5,927,592,120","3,475.00","3,705.00","3,475.00","3,705.00",335.0,"1,648"
107/12/04,"1,129,442","4,043,907,000","3,660.00","3,680.00","3,500.00","3,500.00",-205.0,"1,222"
107/12/05,"846,315","2,856,650,450","3,395.00","3,415.00","3,325.00","3,370.00",-130.0,879
107/12/06,"1,874,842","5,811,928,360","3,150.00","3,200.00","3,035.00","3,035.00",-335.0,"2,012"
107/12/07,"1,248,081","3,893,600,150","3,075.00","3,175.00","3,050.00","3,100.00",65.0,"1,326"
107/12/10,"887,891","2,691,514,825","3,030.00","3,065.00","2,970.00","3,055.00",-45.0,"1,084"
107/12/11,"904,924","2,862,162,940","3,090.00","3,235.00","3,090.00","3,175.00",120.0,"1,020"
107/12/12,"757,608","2,506,418,760","3,250.00","3,350.00","3,245.00","3,345.00",170.0,899
107/12/13,"834,916","2,774,437,760","3,355.00","3,405.00","3,250.00","3,320.00",-25.0,875
107/12/14,"445,393","1,450,299,040","3,270.00","3,300.00","3,235.00","3,260.00",-60.0,521
107/12/17,"547,769","1,807,856,545","3,280.00","3,345.00","3,210.00","3,300.00",40.0,614
107/12/18,"438,812","1,436,494,300","3,230.00","3,330.00","3,230.00","3,250.00",-50.0,488
107/12/19,"428,366","1,416,289,140","3,300.00","3,325.00","3,265.00","3,320.00",70.0,492
107/12/20,"497,574","1,623,563,020","3,265.00","3,320.00","3,210.00","3,225.00",-95.0,614
107/12/21,"944,311","3,015,994,195","3,180.00","3,270.00","3,090.00","3,270.00",45.0,983
107/12/22,"168,597","545,400,250","3,220.00","3,265.00","3,185.00","3,240.00",-30.0,220
107/12/24,"274,359","895,028,930","3,255.00","3,285.00","3,240.00","3,270.00",30.0,346
107/12/25,"347,709","1,106,170,255","3,165.00","3,205.00","3,160.00","3,165.00",-105.0,433
107/12/26,"320,010","1,015,811,600","3,200.00","3,230.00","3,115.00","3,125.00",-40.0,405
107/12/27,"675,246","2,155,269,900","3,220.00","3,240.00","3,135.00","3,135.00",10.0,738
107/12/28,"590,895","1,873,491,900","3,190.00","3,215.00","3,125.00","3,215.00",80.0,624
108/01/02,"941,895","2,950,409,500","3,240.00","3,280.00","3,060.00","3,060.00",-155.0,"1,031"
108/01/03,"1,122,574","3,382,701,440","3,000.00","3,050.00","2,960.00","3,030.00",-30.0,"1,246"
108/01/04,"1,203,571","3,524,395,885","2,965.00","2,990.00","2,880.00","2,905.00",-125.0,"1,545"
108/01/07,"1,306,020","4,024,647,400","3,015.00","3,165.00","3,015.00","3,105.00",200.0,"1,361"
108/01/08,"622,739","1,949,478,925","3,125.00","3,160.00","3,080.00","3,145.00",40.0,670
108/01/09,"1,444,358","4,722,368,190","3,155.00","3,360.00","3,155.00","3,335.00",190.0,"1,591"
108/01/10,"496,274","1,630,214,200","3,285.00","3,315.00","3,250.00","3,280.00",-55.0,588
108/01/11,"1,523,523","5,371,256,091","3,480.00","3,600.00","3,435.00","3,550.00",270.0,"1,602"
108/01/14,"766,663","2,743,468,760","3,530.00","3,620.00","3,500.00","3,570.00",20.0,882
108/01/15,"713,521","2,528,302,365","3,520.00","3,600.00","3,485.00","3,600.00",30.0,956
108/01/16,"580,821","2,089,479,550","3,625.00","3,655.00","3,555.00","3,570.00",-30.0,674
108/01/17,"403,192","1,441,635,840","3,615.00","3,635.00","3,540.00","3,540.00",-30.0,489
108/01/18,"1,210,812","4,456,317,480","3,565.00","3,790.00","3,530.00","3,785.00",245.0,"1,629"
108/01/21,"821,863","3,118,985,360","3,850.00","3,870.00","3,715.00","3,720.00",-65.0,983
108/01/22,"371,296","1,384,970,000","3,720.00","3,760.00","3,660.00","3,750.00",30.0,498
108/01/23,"450,397","1,675,985,885","3,700.00","3,770.00","3,680.00","3,710.00",-40.0,542
108/01/24,"749,910","2,833,512,500","3,730.00","3,845.00","3,725.00","3,725.00",15.0,829
108/01/25,"633,354","2,383,281,570","3,790.00","3,805.00","3,725.00","3,740.00",15.0,703
108/01/28,"426,534","1,594,675,070","3,740.00","3,765.00","3,715.00","3,720.00",-20.0,491
108/01/29,"432,501","1,609,748,750","3,680.00","3,780.00","3,665.00","3,780.00",60.0,517
108/01/30,"510,753","1,938,681,340","3,805.00","3,825.00","3,765.00","3,780.00",0.0,656
108/01/02,"941,895","2,950,409,500","3,240.00","3,280.00","3,060.00","3,060.00",-155.0,"1,031"
108/01/03,"1,122,574","3,382,701,440","3,000.00","3,050.00","2,960.00","3,030.00",-30.0,"1,246"
108/01/04,"1,203,571","3,524,395,885","2,965.00","2,990.00","2,880.00","2,905.00",-125.0,"1,545"
108/01/07,"1,306,020","4,024,647,400","3,015.00","3,165.00","3,015.00","3,105.00",200.0,"1,361"
108/01/08,"622,739","1,949,478,925","3,125.00","3,160.00","3,080.00","3,145.00",40.0,670
108/01/09,"1,444,358","4,722,368,190","3,155.00","3,360.00","3,155.00","3,335.00",190.0,"1,591"
108/01/10,"496,274","1,630,214,200","3,285.00","3,315.00","3,250.00","3,280.00",-55.0,588
108/01/11,"1,523,523","5,371,256,091","3,480.00","3,600.00","3,435.00","3,550.00",270.0,"1,602"
108/01/14,"766,663","2,743,468,760","3,530.00","3,620.00","3,500.00","3,570.00",20.0,882
108/01/15,"713,521","2,528,302,365","3,520.00","3,600.00","3,485.00","3,600.00",30.0,956
108/01/16,"580,821","2,089,479,550","3,625.00","3,655.00","3,555.00","3,570.00",-30.0,674
108/01/17,"403,192","1,441,635,840","3,615.00","3,635.00","3,540.00","3,540.00",-30.0,489
108/01/18,"1,210,812","4,456,317,480","3,565.00","3,790.00","3,530.00","3,785.00",245.0,"1,629"
108/01/21,"821,863","3,118,985,360","3,850.00","3,870.00","3,715.00","3,720.00",-65.0,983
108/01/22,"371,296","1,384,970,000","3,720.00","3,760.00","3,660.00","3,750.00",30.0,498
108/01/23,"450,397","1,675,985,885","3,700.00","3,770.00","3,680.00","3,710.00",-40.0,542
108/01/24,"749,910","2,833,512,500","3,730.00","3,845.00","3,725.00","3,725.00",15.0,829
108/01/25,"633,354","2,383,281,570","3,790.00","3,805.00","3,725.00","3,740.00",15.0,703
108/01/28,"426,534","1,594,675,070","3,740.00","3,765.00","3,715.00","3,720.00",-20.0,491
108/01/29,"432,501","1,609,748,750","3,680.00","3,780.00","3,665.00","3,780.00",60.0,517
108/01/30,"510,753","1,938,681,340","3,805.00","3,825.00","3,765.00","3,780.00",0.0,656
108/01/02,"941,895","2,950,409,500","3,240.00","3,280.00","3,060.00","3,060.00",-155.0,"1,031"
108/01/03,"1,122,574","3,382,701,440","3,000.00","3,050.00","2,960.00","3,030.00",-30.0,"1,246"
108/01/04,"1,203,571","3,524,395,885","2,965.00","2,990.00","2,880.00","2,905.00",-125.0,"1,545"
108/01/07,"1,306,020","4,024,647,400","3,015.00","3,165.00","3,015.00","3,105.00",200.0,"1,361"
108/01/08,"622,739","1,949,478,925","3,125.00","3,160.00","3,080.00","3,145.00",40.0,670
108/01/09,"1,444,358","4,722,368,190","3,155.00","3,360.00","3,155.00","3,335.00",190.0,"1,591"
108/01/10,"496,274","1,630,214,200","3,285.00","3,315.00","3,250.00","3,280.00",-55.0,588
108/01/11,"1,523,523","5,371,256,091","3,480.00","3,600.00","3,435.00","3,550.00",270.0,"1,602"
108/01/14,"766,663","2,743,468,760","3,530.00","3,620.00","3,500.00","3,570.00",20.0,882
108/01/15,"713,521","2,528,302,365","3,520.00","3,600.00","3,485.00","3,600.00",30.0,956
108/01/16,"580,821","2,089,479,550","3,625.00","3,655.00","3,555.00","3,570.00",-30.0,674
108/01/17,"403,192","1,441,635,840","3,615.00","3,635.00","3,540.00","3,540.00",-30.0,489
108/01/18,"1,210,812","4,456,317,480","3,565.00","3,790.00","3,530.00","3,785.00",245.0,"1,629"
108/01/21,"821,863","3,118,985,360","3,850.00","3,870.00","3,715.00","3,720.00",-65.0,983
